Learning Suite Quiz Number,Quiz #,Open Assessments ID,Title,Quiz URL,title,AyamelURL,url,ID,length,chapter,section,group,video,old video number,title,date,1,,class period,gilbert,optional,video # in semester,video # within group,newvideos,Section Number,Section Title,Chapter Number,Chapter Title Long,Chapter Title Short,Topic Course Schedule
7,19,96,Quiz 7,http://openanalytics-assessments.com/assessments/lti?custom_assessment_id=96,2_3_4_percent_yield,https://ayamel.byu.edu/course/350/content/2191/lti,http://chempath.byu.edu/chem105/blackboardmp4videos/2_2_15bb.mp4,2191,114.916,2,3,5,4,47,percent yield,10/22/15,7,0,22,7.8,0,150,2,,Section 7.8,Limiting Reactants and Percent Yield,7,Stoichiometry: Mass Relationships and Chemical Reactions,Stoichiometry,"% Mass, Empirical Formula"
8,20,97,Quiz 8,http://openanalytics-assessments.com/assessments/lti?custom_assessment_id=97,2_3_2_percent_composition,https://ayamel.byu.edu/course/350/content/2401/lti,http://chempath.byu.edu/chem105/blackboardmp4videos/2_3_2bbnew.mp4,2401,245.4785,2,3,5,2,45,percent composition,10/24/15,8,1,23,7.5-7.6,0,151,1,,Sections 7.5,Percent composition and Empirical Formula,7,Stoichiometry: Mass Relationships and Chemical Reactions,Stoichiometry,"Limiting Reactants, % Yield"
8,20,97,Quiz 8,http://openanalytics-assessments.com/assessments/lti?custom_assessment_id=97,2_3_3_empirical_formula,https://ayamel.byu.edu/course/350/content/2190/lti,http://chempath.byu.edu/chem105/blackboardmp4videos/2_2_14bb.mp4,2190,348.857,2,3,5,3,46,empirical formula,10/24/15,8,0,23,7.5-7.6,0,152,2,,Sections 7.5,Percent composition and Empirical Formula,7,Stoichiometry: Mass Relationships and Chemical Reactions,Stoichiometry,"Limiting Reactants, % Yield"
9,5,82,Quiz 9,http://openanalytics-assessments.com/assessments/lti?custom_assessment_id=82,3_1_2_electromagnetic_radiation,https://ayamel.byu.edu/course/350/content/2193/lti,http://chempath.byu.edu/chem105/blackboardmp4videos/3_1_4bb.mp4,2193,61.65,3,1,6,2,49,electromagnetic radiation,9/12/15,5,1,5,3.1-3.3,0,36,2,,Sections 3.1,Waves of Light,3,Atomic Structure: Explaining the Properties of the Elements,Atomic Structure,Light
9,5,82,Quiz 9,http://openanalytics-assessments.com/assessments/lti?custom_assessment_id=82,3_1_3_wave_properties,https://ayamel.byu.edu/course/350/content/2194/lti,http://chempath.byu.edu/chem105/blackboardmp4videos/3_1_5bb.mp4,2194,93.182,3,1,6,3,50,wave properties,9/12/15,5,0,5,3.1-3.3,0,37,3,,Sections 3.1,Waves of Light,3,Atomic Structure: Explaining the Properties of the Elements,Atomic Structure,Light
9,5,82,Quiz 9,http://openanalytics-assessments.com/assessments/lti?custom_assessment_id=82,3_1_4_units_of_wave_properties,https://ayamel.byu.edu/course/350/content/2195/lti,http://chempath.byu.edu/chem105/blackboardmp4videos/3_1_6bb.mp4,2195,108.965,3,1,6,4,51,wave units,9/12/15,5,0,5,3.1-3.3,0,38,4,,Sections 3.1,Waves of Light,3,Atomic Structure: Explaining the Properties of the Elements,Atomic Structure,Light
9,5,82,Quiz 9,http://openanalytics-assessments.com/assessments/lti?custom_assessment_id=82,3_1_5_the_electromagnetic_spectrum,https://ayamel.byu.edu/course/350/content/2196/lti,http://chempath.byu.edu/chem105/blackboardmp4videos/3_1_7bb.mp4,2196,89.445,3,1,6,5,52,the electromagnetic spectrum,9/12/15,5,0,5,3.1-3.3,0,39,5,,Sections 3.1,Waves of Light,3,Atomic Structure: Explaining the Properties of the Elements,Atomic Structure,Light
9,5,82,Quiz 9,http://openanalytics-assessments.com/assessments/lti?custom_assessment_id=82,3_1_6_blackbody_radiation,https://ayamel.byu.edu/course/350/content/2197/lti,http://chempath.byu.edu/chem105/blackboardmp4videos/3_1_8bb.mp4,2197,79.835,3,1,6,6,53,blackbody radiation,9/12/15,5,0,5,3.1-3.3,0,40,6,,Sections 3.3,Particles of Light: Quantum Theory,3,Atomic Structure: Explaining the Properties of the Elements,Atomic Structure,Light
9,5,82,Quiz 9,http://openanalytics-assessments.com/assessments/lti?custom_assessment_id=82,3_1_7_theory_vs._experimentation,https://ayamel.byu.edu/course/350/content/2198/lti,http://chempath.byu.edu/chem105/blackboardmp4videos/3_1_9bb.mp4,2198,141.932,3,1,6,7,54,theory vs. experimentation,9/12/15,5,0,5,3.1-3.3,0,41,7,,Sections 3.3,Particles of Light: Quantum Theory,3,Atomic Structure: Explaining the Properties of the Elements,Atomic Structure,Light
9,5,82,Quiz 9,http://openanalytics-assessments.com/assessments/lti?custom_assessment_id=82,3_1_8_planck_s_constant,https://ayamel.byu.edu/course/350/content/2199/lti,http://chempath.byu.edu/chem105/blackboardmp4videos/3_1_10bb.mp4,2199,64.987,3,1,6,8,55,planck's constant,9/12/15,5,0,5,3.1-3.3,0,42,8,,Sections 3.3,Particles of Light: Quantum Theory,3,Atomic Structure: Explaining the Properties of the Elements,Atomic Structure,Light
9,5,82,Quiz 9,http://openanalytics-assessments.com/assessments/lti?custom_assessment_id=82,3_1_9_the_photoelectric_effect,https://ayamel.byu.edu/course/350/content/2200/lti,http://chempath.byu.edu/chem105/blackboardmp4videos/3_1_11bb.mp4,2200,132.655,3,1,6,9,56,the photoelectric effect,9/12/15,5,0,5,3.1-3.3,0,43,9,,Sections 3.3,Particles of Light: Quantum Theory,3,Atomic Structure: Explaining the Properties of the Elements,Atomic Structure,Light
9,5,82,Quiz 9,http://openanalytics-assessments.com/assessments/lti?custom_assessment_id=82,3_1_10_photons,https://ayamel.byu.edu/course/350/content/2402/lti,http://chempath.byu.edu/chem105/blackboardmp4videos/3_1_10bbnew.mp4,2402,116.116,3,1,6,10,57,photons,9/12/15,5,0,5,3.1-3.3,0,44,10,,Sections 3.3,Particles of Light: Quantum Theory,3,Atomic Structure: Explaining the Properties of the Elements,Atomic Structure,Light
9,5,82,Quiz 9,http://openanalytics-assessments.com/assessments/lti?custom_assessment_id=82,3_2_1_atomic_spectra,https://ayamel.byu.edu/course/350/content/2201/lti,http://chempath.byu.edu/chem105/blackboardmp4videos/3_2_1bb.mp4,2201,114.77,3,2,7,1,58,atomic spectra,9/12/15,5,0,5,3.1-3.3,0,45,11,,Sections 3.2,Atomic Spectra,3,Atomic Structure: Explaining the Properties of the Elements,Atomic Structure,Light
9,5,82,Quiz 9,http://openanalytics-assessments.com/assessments/lti?custom_assessment_id=82,3_2_2_rydberg_s_equation,https://ayamel.byu.edu/course/350/content/2403/lti,http://chempath.byu.edu/chem105/blackboardmp4videos/3_2_2bbnew.mp4,2403,56.7567,3,2,7,2,59,rydberg equation,9/12/15,5,0,5,3.1-3.3,0,46,12,,Sections 3.2,Atomic Spectra,3,Atomic Structure: Explaining the Properties of the Elements,Atomic Structure,Light
9,5,82,Quiz 9,http://openanalytics-assessments.com/assessments/lti?custom_assessment_id=82,3_3_1_wave_particle_duality_of_matter,https://ayamel.byu.edu/course/350/content/2205/lti,http://chempath.byu.edu/chem105/blackboardmp4videos/3_3_1bb.mp4,2205,134.39,3,3,8,1,63,Wave-Particle Duality,9/12/15,5,0,5,3.1-3.3,0,47,13,,Sections 3.3,Particles of Light: Quantum Theory,3,Atomic Structure: Explaining the Properties of the Elements,Atomic Structure,Light
10,6,83,Quiz 10,http://openanalytics-assessments.com/assessments/lti?custom_assessment_id=83,3_2_3_the_bohr_model,https://ayamel.byu.edu/course/350/content/2202/lti,http://chempath.byu.edu/chem105/blackboardmp4videos/3_2_2bb.mp4,2202,73.362,3,2,7,3,60,the bohr model,9/15/15,9,1,6,"3.2,3.4",0,48,1,,Sections 3.4,The Hydrogen Spectrum and the Bohr Model,3,Atomic Structure: Explaining the Properties of the Elements,Atomic Structure,"Atomic Spectra, Bohr Model"
10,6,83,Quiz 10,http://openanalytics-assessments.com/assessments/lti?custom_assessment_id=83,3_2_4_bohr_s_model_for_hydrogen,https://ayamel.byu.edu/course/350/content/2203/lti,http://chempath.byu.edu/chem105/blackboardmp4videos/3_2_3bb.mp4,2203,91.38,3,2,7,4,61,limitations of the bohr model,9/15/15,9,0,6,"3.2,3.4",0,49,2,,Sections 3.4,The Hydrogen Spectrum and the Bohr Model,3,Atomic Structure: Explaining the Properties of the Elements,Atomic Structure,"Atomic Spectra, Bohr Model"
10,6,83,Quiz 10,http://openanalytics-assessments.com/assessments/lti?custom_assessment_id=83,3_2_5_total_electrons_in_each_energy_level,https://ayamel.byu.edu/course/350/content/2204/lti,http://chempath.byu.edu/chem105/blackboardmp4videos/3_2_4bb.mp4,2204,85.242,3,2,7,5,62,Number of Electrons in Each n Level,9/15/15,9,0,6,"3.2,3.4",0,50,3,,Sections 3.4,The Hydrogen Spectrum and the Bohr Model,3,Atomic Structure: Explaining the Properties of the Elements,Atomic Structure,"Atomic Spectra, Bohr Model"
